"id","geom","hauteur","ordre","rayon","texte","central","ausol"
299,"01010000A0E610000082756713D26DF2BF682220BEF413474000007CF1D1714940",NULL,NULL,"9","5_o",False,False
300,"01010000A0E610000086E76445166DF2BF8794C580FA134740000016319A4B4940",NULL,NULL,"7","5_z",False,False
301,"01010000A0E610000066F8B6C51E6DF2BFBF1EC158FF1347400000766EFF614940",NULL,NULL,"8","5_y",False,False
302,"01010000A0E6100000B49F0E531A6EF2BFF6CBDCF6F7134740000016A642564B40",NULL,NULL,"9","5_j",False,False
303,"01010000A0E6100000F7D33DCEA66DF2BFFBBDC4ED011447400000DA5D30654940",NULL,NULL,"7","5_x",False,False
304,"01010000A0E6100000768B657B156FF2BFFC88683A001447400000EC57986A4940",NULL,NULL,"10","5_v",False,False
218,"01010000A0E61000005948290FFA72F2BF402F7468EB1347400000000000004940",NULL,27,"4","1_i",False,False
283,"01010000A0E610000000C995C44B6DF2BF7ABE69E700144740000074115B6B4940",NULL,NULL,"8","5_l",False,True
220,"01010000A0E61000006EE28F662973F2BF16DF7463EB1347400000000000004940",NULL,25,"4","1_i",False,False
215,"01010000A0E6100000717E9FE52673F2BF472BF93FEA1347400000000000804940",NULL,22,"4","1_h",False,False
209,"01010000A0E6100000058EC4242D73F2BFCB8FEE14E81347400000000000804940",NULL,16,"4","1_f",False,False
211,"01010000A0E6100000245CDB35FE72F2BF5BDA2711E81347400000000000804940",NULL,18,"4","1_n",False,False
212,"01010000A0E610000063A1DB79FB72F2BF128868F4E81347400000000000804940",NULL,21,"3","1_g",False,False
59,"01010000A0E61000001EE84795605DEEBFCEA8BA750D154740CDCCCCCCCC0C4F40",NULL,NULL,"7","5_g",False,True
60,"01010000A0E61000007E45A3BA465DEEBF8F02EF0610154740CDCCCCCCCC0C4F40",NULL,NULL,"8","5_j",False,True
61,"01010000A0E61000005E1991C5D65CEEBFF95ACD570F154740CDCCCCCCCC0C4F40",NULL,NULL,"9","5_a",False,False
214,"01010000A0E61000007C21030B2B73F2BFE853D9E5E81347400000000000804940",NULL,19,"4","1_g",False,False
200,"01010000A0E61000004D6E80890C73F2BFA19E5407E61347400000000000804940",NULL,9,"3","1_c",False,False
227,"01010000A0E61000007D50F193C872F2BF697B1F2FE91347400000000000804940",NULL,33,"4","1_m",False,False
217,"01010000A0E610000072102CACF972F2BF22248346EA1347400000000000804940",NULL,24,"4","1_h",False,False
228,"01010000A0E6100000D6C3BCD8C672F2BFBAC0BC1DE81347400000000000804940",NULL,34,"4","1_n",False,False
229,"01010000A0E6100000E641F7729872F2BFA275E433E91347400000000000804940",NULL,35,"4","1_o",False,False
230,"01010000A0E61000004821759B9572F2BF16A3A21CE81347400000000000804940",NULL,36,"4","1_o",False,False
231,"01010000A0E6100000C07EC9226672F2BFFAC5ED3AE91347400000000000804940",NULL,37,"4","1_p",False,False
202,"01010000A0E6100000FC98EC053973F2BF5C826CFBE51347400000000000804940",NULL,7,"3","1_c",False,False
206,"01010000A0E61000008A2BE6360473F2BFB404771DE71347400000000000804940",NULL,15,"3","1_e",False,False
208,"01010000A0E6100000D489937C2F73F2BF20904F17E71347400000000000804940",NULL,13,"3","1_e",False,False
180,"01010000A0E61000008FA33EE1816FF2BF757E4B52E21347400000000000804B40",NULL,NULL,"10","5_y",True,False
255,"01010000A0E61000001A7DD3D67A70F2BFB9AB1F1FF81347400000FE672F3A4A40",NULL,NULL,"10","h-3_a-coursive",True,False
